district_id,total_aadhaar_holders,total_biometric_updates,last_biometric_update_date,total_demographic_updates,biometric_coverage_count,days_since_last_update,years_since_last_update,update_recency_rank,biometric_coverage_ratio,biometric_coverage_gap,uncovered_population,demographic_to_biometric_ratio,update_lag_proxy,adult_population_proxy,population_impact_score,update_consistency,operational_neglect_proxy,urgency_signal,governance_concern_score,days_since_last_update_norm,years_since_last_update_norm,update_recency_rank_norm,biometric_coverage_ratio_norm,biometric_coverage_gap_norm,uncovered_population_norm,demographic_to_biometric_ratio_norm,update_lag_proxy_norm,adult_population_proxy_norm,population_impact_score_norm,update_consistency_norm,operational_neglect_proxy_norm,urgency_signal_norm,governance_concern_score_norm,bsi_score,bsi_tier,cps_score,cps_tier,cps_rank,is_top_20,is_top_100,camp_type,deployment_freq_days,location_suitability,strategy_reasoning
Bengaluru Urban,23074,0.0,1970-01-01,0.0,0.0,20470,56.082191780821915,951.0,0.0,1.0,23074.0,0.0,28.041095890410958,17305.5,0.5281541842153452,0.0,28.041095890410958,2.0,0.5281541842153452,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9999999999999999,0.5281433836152631,0.5281433836152631,0.0,0.9999999999999999,1.0,1.0,1.0,Critical,85.84,Tier 1,1,True,True,INTENSIVE,7-10 days,Standard Suitability,"Assigned INTENSIVE due to CPS 85.84. Location is Standard Suitability (Pop Score: 0.53, Gap: 1.00)."
Purbi Champaran,14871,0.0,1970-01-01,0.0,0.0,20470,56.082191780821915,951.0,0.0,1.0,14871.0,0.0,28.041095890410958,11153.25,0.340390954037722,0.0,28.041095890410958,2.0,0.340390954037722,1.0,1.0,1.0,0.0,1.0,0.6444916356071769,0.0,0.9999999999999999,0.3403758555176597,0.3403758555176597,0.0,0.9999999999999999,1.0,0.6444916356071768,1.0,Critical,80.21,Tier 2,2,True,True,FREQUENT_MOBILE,14-21 days,Standard Suitability,"Assigned FREQUENT_MOBILE due to CPS 80.21. Location is Standard Suitability (Pop Score: 0.34, Gap: 1.00)."
Dinajpur Uttar,11671,0.0,1970-01-01,0.0,0.0,20470,56.082191780821915,951.0,0.0,1.0,11671.0,0.0,28.041095890410958,8753.25,0.2671442959164988,0.0,28.041095890410958,2.0,0.2671442959164988,1.0,1.0,1.0,0.0,1.0,0.5058074022709543,0.0,0.9999999999999999,0.2671275207727699,0.2671275207727699,0.0,0.9999999999999999,1.0,0.5058074022709543,1.0,Critical,78.01,Tier 2,3,True,True,FREQUENT_MOBILE,14-21 days,Standard Suitability,"Assigned FREQUENT_MOBILE due to CPS 78.01. Location is Standard Suitability (Pop Score: 0.27, Gap: 1.00)."
24 Paraganas North,6147,0.0,1970-01-01,0.0,0.0,20470,56.082191780821915,951.0,0.0,1.0,6147.0,0.0,28.041095890410958,4610.25,0.14070225233473724,0.0,28.041095890410958,2.0,0.14070225233473724,1.0,1.0,1.0,0.0,1.0,0.2664037444743001,0.0,0.9999999999999999,0.14068258291940394,0.14068258291940397,0.0,0.9999999999999999,1.0,0.2664037444743001,1.0,Critical,74.22,Tier 2,4,True,True,FREQUENT_MOBILE,14-21 days,Standard Suitability,"Assigned FREQUENT_MOBILE due to CPS 74.22. Location is Standard Suitability (Pop Score: 0.14, Gap: 1.00)."
Coochbehar,4410,0.0,1970-01-01,0.0,0.0,20470,56.082191780821915,951.0,0.0,1.0,4410.0,0.0,28.041095890410958,3307.5,0.10094305072331075,0.0,28.041095890410958,2.0,0.10094305072331075,1.0,1.0,1.0,0.0,1.0,0.19112420906648175,0.0,0.9999999999999999,0.10092247121569345,0.10092247121569346,0.0,0.9999999999999999,1.0,0.19112420906648175,1.0,Critical,73.03,Tier 2,5,True,True,FREQUENT_MOBILE,14-21 days,Standard Suitability,"Assigned FREQUENT_MOBILE due to CPS 73.03. Location is Standard Suitability (Pop Score: 0.10, Gap: 1.00)."
Siddharth Nagar,4341,0.0,1970-01-01,0.0,0.0,20470,56.082191780821915,951.0,0.0,1.0,4341.0,0.0,28.041095890410958,3255.75,0.09936366965757187,0.0,28.041095890410958,2.0,0.09936366965757187,1.0,1.0,1.0,0.0,1.0,0.18813383028516947,0.0,0.9999999999999999,0.09934305399775677,0.09934305399775677,0.0,0.9999999999999999,1.0,0.18813383028516945,1.0,Critical,72.98,Tier 2,6,True,True,FREQUENT_MOBILE,14-21 days,Standard Suitability,"Assigned FREQUENT_MOBILE due to CPS 72.98. Location is Standard Suitability (Pop Score: 0.10, Gap: 1.00)."
Ashoknagar,3011,0.0,1970-01-01,0.0,0.0,20470,56.082191780821915,951.0,0.0,1.0,3011.0,0.0,28.041095890410958,2258.25,0.06892052737593847,0.0,28.041095890410958,2.0,0.06892052737593847,1.0,1.0,1.0,0.0,1.0,0.13049319580480195,0.0,0.9999999999999999,0.06889921486941195,0.06889921486941195,0.0,0.9999999999999999,1.0,0.13049319580480193,1.0,Critical,72.07,Tier 2,7,True,True,FREQUENT_MOBILE,14-21 days,Standard Suitability,"Assigned FREQUENT_MOBILE due to CPS 72.07. Location is Standard Suitability (Pop Score: 0.07, Gap: 1.00)."
Gurugram,2636,0.0,1970-01-01,0.0,0.0,20470,56.082191780821915,951.0,0.0,1.0,2636.0,0.0,28.041095890410958,1977.0,0.060336934627357626,0.0,28.041095890410958,2.0,0.060336934627357626,1.0,1.0,1.0,0.0,1.0,0.11424113721071336,0.0,0.9999999999999999,0.060315425641495175,0.06031542564149518,0.0,0.9999999999999999,1.0,0.11424113721071336,1.0,Critical,71.81,Tier 2,8,True,True,FREQUENT_MOBILE,14-21 days,Standard Suitability,"Assigned FREQUENT_MOBILE due to CPS 71.81. Location is Standard Suitability (Pop Score: 0.06, Gap: 1.00)."
Shravasti,2535,0.0,1970-01-01,0.0,0.0,20470,56.082191780821915,951.0,0.0,1.0,2535.0,0.0,28.041095890410958,1901.25,0.058025086980406516,0.0,28.041095890410958,2.0,0.058025086980406516,1.0,1.0,1.0,0.0,1.0,0.10986391609603884,0.0,0.9999999999999999,0.0580035250761096,0.05800352507610959,0.0,0.9999999999999999,1.0,0.10986391609603882,1.0,Critical,71.74,Tier 2,9,True,True,FREQUENT_MOBILE,14-21 days,Standard Suitability,"Assigned FREQUENT_MOBILE due to CPS 71.74. Location is Standard Suitability (Pop Score: 0.06, Gap: 1.00)."
Spsr Nellore,2183,0.0,1970-01-01,0.0,0.0,20470,56.082191780821915,951.0,0.0,1.0,2183.0,0.0,28.041095890410958,1637.25,0.04996795458707196,0.0,28.041095890410958,2.0,0.04996795458707196,1.0,1.0,1.0,0.0,1.0,0.09460865042905435,0.0,0.9999999999999999,0.04994620825417172,0.04994620825417172,0.0,0.9999999999999999,1.0,0.09460865042905434,1.0,Critical,71.5,Tier 2,10,True,True,FREQUENT_MOBILE,14-21 days,Standard Suitability,"Assigned FREQUENT_MOBILE due to CPS 71.5. Location is Standard Suitability (Pop Score: 0.05, Gap: 1.00)."
Kushi Nagar,1570,0.0,1970-01-01,0.0,0.0,20470,56.082191780821915,951.0,0.0,1.0,1570.0,0.0,28.041095890410958,1177.5,0.035936641640725145,0.0,28.041095890410958,2.0,0.035936641640725145,1.0,1.0,1.0,0.0,1.0,0.06804195198058421,0.0,0.9999999999999999,0.03591457412960377,0.03591457412960378,0.0,0.9999999999999999,1.0,0.06804195198058421,1.0,Critical,71.08,Tier 2,11,True,True,FREQUENT_MOBILE,14-21 days,Standard Suitability,"Assigned FREQUENT_MOBILE due to CPS 71.08. Location is Standard Suitability (Pop Score: 0.04, Gap: 1.00)."
